,Product Name,Brand,Ram,Storage,Battery,Screen_size,Rear_Camera,Front_Camera,Rating,Rating_Category,Rating_Count,Review_Count,Total_Engagements,Offer,Price,Price_Range
632,Samsung Galaxy S24 5G,Samsung,8,256 ,4000,6.2,50MP + 10MP + 12MP,12MP,4.6,Excellent,5410,342,5752,33,52999,30K+
633,Samsung Galaxy S24 5G,Samsung,8,256 ,4000,6.2,50MP + 10MP + 12MP,12MP,4.6,Excellent,5410,342,5752,33,52999,30K+
634,vivo V40 Pro 5G,vivo,12,512 ,5500,6.78,50MP + 50MP + 50MP,50MP,4.5,Very Good,889,101,990,8,55999,30K+
635,Google Pixel 8 Pro,Google,12,128 ,5050,6.7,50MP + 48MP + 48MP,10.5MP,4.4,Very Good,1116,125,1241,43,59999,30K+
636,Google Pixel 8 Pro,Google,12,128 ,5050,6.7,50MP + 48MP + 48MP,10.5MP,4.4,Very Good,1116,125,1241,43,59999,30K+
637,Google Pixel 8 Pro,Google,12,128 ,5050,6.7,50MP + 48MP + 48MP,10.5MP,4.4,Very Good,1116,125,1241,43,59999,30K+
638,Google Pixel 8 Pro,Google,12,128 ,5050,6.7,50MP + 48MP + 48MP,10.5MP,4.4,Very Good,1116,125,1241,43,59999,30K+
639,Google Pixel 8 Pro,Google,12,256 ,5050,6.7,50MP + 48MP + 48MP,10.5MP,4.4,Very Good,1116,125,1241,42,64999,30K+
640,Google Pixel 8 Pro,Google,12,256 ,5050,6.7,50MP + 48MP + 48MP,10.5MP,4.4,Very Good,1116,125,1241,42,64999,30K+
641,vivo X200 5G,vivo,12,256 ,5800,6.67,50MP + 50MP + 50MP,32MP,4.6,Excellent,1034,182,1216,12,65999,30K+
642,vivo X200 5G,vivo,16,512 ,5800,6.67,50MP + 50MP + 50MP,32MP,4.7,Excellent,196,27,223,11,71999,30K+
643,vivo X200 5G,vivo,16,512 ,5800,6.67,50MP + 50MP + 50MP,32MP,4.7,Excellent,196,27,223,11,71999,30K+
644,Google Pixel 9,Google,12,256 ,4700,6.3,50MP + 48MP,10.5MP,4.6,Excellent,2968,299,3267,6,74999,30K+
645,Google Pixel 9,Google,12,256 ,4700,6.3,50MP + 48MP,10.5MP,4.6,Excellent,2968,299,3267,6,74999,30K+
646,Samsung Galaxy S24 Ultra 5G,Samsung,12,256 ,5000,6.8,200MP + 50MP + 12MP + 10MP,12MP,4.6,Excellent,3142,314,3456,38,82699,30K+
647,Samsung Galaxy S24 Ultra 5G,Samsung,12,256 ,5000,6.8,200MP + 50MP + 12MP + 10MP,12MP,4.6,Excellent,3142,314,3456,38,82979,30K+
648,Samsung Galaxy S24 Ultra 5G,Samsung,12,256 ,5000,6.8,200MP + 50MP + 12MP + 10MP,12MP,4.6,Excellent,3142,314,3456,38,82988,30K+
649,Google Pixel 9 Pro,Google,16,256 ,4700,6.3,50MP + 48MP + 48MP,42MP,4.6,Excellent,479,61,540,18,89999,30K+
650,vivo X200 Pro 5G,vivo,16,512 ,6000,6.78,50MP + 50MP + 200MP,32MP,4.7,Excellent,865,200,1065,6,94999,30K+
651,vivo X200 Pro 5G,vivo,16,512 ,6000,6.78,50MP + 50MP + 200MP,32MP,4.7,Excellent,865,200,1065,6,94999,30K+
